, Dimensione (n), Mediana (s), Tempi - (s), Tempi + (s)
34, 350, 2.0e-08, -1.9e-08, +7.2e-08 
35, 360, 2.4e-08, -2.3e-08, +8.2e-08 
36, 370, 2.2e-08, -2.1e-08, +6.2e-08 
37, 380, 2.1e-08, -2.0e-08, +1.3e-07 
38, 390, 2.7e-08, -2.6e-08, +9.5e-08 
39, 400, 2.5e-08, -2.4e-08, +9.5e-08 
40, 410, 2.2e-08, -2.1e-08, +9.0e-08 
41, 420, 2.0e-08, -1.9e-08, +7.8e-08 
42, 430, 2.0e-08, -2.0e-08, +8.1e-08 
43, 440, 2.1e-08, -2.0e-08, +6.7e-08 
44, 450, 2.5e-08, -2.5e-08, +8.9e-08 
45, 460, 2.2e-08, -2.2e-08, +9.5e-08 
46, 470, 2.3e-08, -2.3e-08, +7.2e-08 
47, 480, 2.9e-08, -2.8e-08, +1.1e-07 
48, 490, 2.7e-08, -2.6e-08, +1.0e-07 
49, 500, 1.9e-08, -1.8e-08, +9.3e-08 
50, 510, 2.1e-08, -2.0e-08, +9.2e-08 
51, 520, 2.4e-08, -2.4e-08, +7.6e-08 
52, 530, 2.6e-08, -2.5e-08, +1.5e-07 
53, 540, 2.2e-08, -2.2e-08, +1.2e-07 
54, 550, 2.2e-08, -2.2e-08, +8.8e-08 
55, 560, 2.3e-08, -2.2e-08, +1.0e-07 
56, 570, 2.3e-08, -2.3e-08, +8.9e-08 
57, 580, 2.3e-08, -2.2e-08, +8.3e-08 
58, 590, 2.2e-08, -2.2e-08, +6.9e-08 
59, 600, 3.2e-08, -3.2e-08, +1.1e-07 
60, 610, 2.7e-08, -2.7e-08, +1.0e-07 
61, 620, 2.5e-08, -2.4e-08, +9.1e-08 
62, 630, 2.3e-08, -2.3e-08, +1.1e-07 
63, 640, 2.5e-08, -2.4e-08, +7.5e-08 
64, 650, 2.5e-08, -2.4e-08, +1.2e-07 
65, 660, 2.4e-08, -2.3e-08, +9.2e-08 
66, 670, 2.8e-08, -2.7e-08, +1.2e-07 
67, 680, 2.2e-08, -2.2e-08, +1.1e-07 
68, 690, 2.9e-08, -2.9e-08, +1.2e-07 
69, 700, 2.6e-08, -2.6e-08, +9.2e-08 
70, 710, 2.4e-08, -2.4e-08, +9.5e-08 
71, 720, 2.5e-08, -2.5e-08, +1.5e-07 
72, 730, 2.5e-08, -2.4e-08, +1.1e-07 
73, 740, 2.4e-08, -2.3e-08, +1.0e-07 
74, 750, 3.0e-08, -2.9e-08, +1.6e-07 
75, 760, 2.8e-08, -2.8e-08, +1.2e-07 
76, 770, 2.6e-08, -2.5e-08, +8.9e-08 
77, 780, 2.9e-08, -2.8e-08, +7.7e-08 
78, 790, 2.6e-08, -2.6e-08, +7.3e-08 
79, 800, 2.8e-08, -2.8e-08, +1.0e-07 
80, 810, 3.2e-08, -3.1e-08, +1.4e-07 
81, 820, 3.0e-08, -3.0e-08, +1.2e-07 
82, 830, 2.8e-08, -2.8e-08, +1.1e-07 
83, 840, 2.9e-08, -2.8e-08, +8.9e-08 
84, 850, 3.1e-08, -3.1e-08, +9.7e-06 
85, 860, 2.6e-08, -2.6e-08, +1.8e-07 
86, 870, 2.4e-08, -2.4e-08, +7.4e-08 
87, 880, 2.4e-08, -2.4e-08, +6.6e-08 
88, 890, 2.7e-08, -2.7e-08, +1.3e-07 
89, 900, 2.7e-08, -2.6e-08, +3.5e-07 
90, 910, 2.7e-08, -2.7e-08, +7.6e-08 
91, 920, 2.6e-08, -2.6e-08, +2.3e-07 
92, 930, 3.0e-08, -2.9e-08, +8.8e-08 
93, 940, 3.1e-08, -3.0e-08, +8.8e-08 
94, 950, 2.6e-08, -2.6e-08, +8.2e-08 
95, 960, 2.5e-08, -2.4e-08, +1.2e-07 
96, 970, 2.5e-08, -2.4e-08, +3.0e-07 
97, 980, 2.6e-08, -2.6e-08, +7.7e-08 
98, 990, 2.4e-08, -2.4e-08, +7.0e-08 
99, 1000, 2.6e-08, -2.6e-08, +2.0e-07 
