, Dimensione (n), Mediana (s), Tempi - (s), Tempi + (s)
52, 530, 2.5e-07, -1.6e-07, +2.4e-07 
53, 540, 1.5e-07, -1.3e-07, +4.5e-07 
54, 550, 1.6e-07, -1.1e-07, +2.2e-05 
55, 560, 1.9e-07, -1.5e-07, +1.6e-07 
56, 570, 1.5e-07, -1.4e-07, +3.9e-07 
57, 580, 1.2e-07, -7.9e-08, +3.2e-07 
58, 590, 1.6e-07, -8.3e-08, +2.2e-07 
59, 600, 1.7e-07, -1.5e-07, +5.7e-07 
60, 610, 1.8e-07, -1.2e-07, +3.7e-07 
61, 620, 1.5e-07, -1.1e-07, +2.3e-07 
62, 630, 1.6e-07, -7.7e-08, +3.8e-07 
63, 640, 1.4e-07, -1.4e-07, +1.7e-07 
64, 650, 2.1e-07, -1.2e-07, +2.3e-07 
65, 660, 1.2e-07, -9.0e-08, +2.2e-07 
66, 670, 1.5e-07, -7.2e-08, +1.9e-07 
67, 680, 4.6e-07, -4.5e-07, +9.6e-07 
68, 690, 1.7e-07, -1.5e-07, +3.5e-05 
69, 700, 2.4e-07, -1.5e-07, +1.6e-07 
70, 710, 1.7e-07, -1.0e-07, +3.0e-07 
71, 720, 2.0e-07, -1.0e-07, +2.2e-07 
72, 730, 1.2e-07, -8.6e-08, +2.0e-07 
73, 740, 3.3e-07, -2.4e-07, +3.8e-07 
74, 750, 1.1e-07, -7.4e-08, +4.4e-07 
75, 760, 1.3e-07, -7.9e-08, +9.4e-08 
76, 770, 1.3e-07, -1.2e-07, +1.2e-07 
77, 780, 2.1e-07, -1.9e-07, +2.1e-07 
78, 790, 1.6e-07, -1.2e-07, +1.8e-07 
79, 800, 1.4e-07, -6.8e-08, +1.3e-07 
80, 810, 1.2e-07, -6.5e-08, +1.6e-07 
81, 820, 2.8e-07, -2.7e-07, +3.4e-07 
82, 830, 2.2e-07, -1.3e-07, +2.7e-07 
83, 840, 1.4e-07, -8.2e-08, +3.7e-07 
84, 850, 1.2e-07, -6.2e-08, +3.4e-07 
85, 860, 1.2e-07, -6.6e-08, +1.2e-07 
86, 870, 1.3e-07, -1.0e-07, +4.8e-06 
87, 880, 1.5e-07, -9.8e-08, +3.0e-07 
88, 890, 1.4e-07, -1.2e-07, +1.9e-07 
89, 900, 1.6e-07, -9.0e-08, +3.9e-07 
90, 910, 1.6e-07, -1.0e-07, +1.6e-07 
91, 920, 1.8e-07, -9.7e-08, +4.8e-07 
92, 930, 9.6e-08, -7.4e-08, +1.8e-05 
93, 940, 1.1e-07, -5.0e-08, +8.5e-08 
94, 950, 1.7e-07, -1.5e-07, +2.5e-07 
95, 960, 1.2e-07, -8.3e-08, +2.9e-07 
96, 970, 1.8e-07, -9.4e-08, +3.6e-07 
97, 980, 8.2e-08, -7.9e-08, +2.3e-07 
98, 990, 1.5e-07, -8.6e-08, +1.9e-07 
99, 1000, 1.2e-07, -6.9e-08, +2.5e-07 
