, Dimensione (n), Mediana (s), Tempi - (s), Tempi + (s)
0, 10, 4.0e-07, -2.3e-07, +2.4e-05 
1, 20, 6.1e-07, -4.4e-07, +1.3e-06 
2, 30, 8.1e-07, -6.3e-07, +1.6e-06 
3, 40, 1.3e-06, -1.2e-06, +7.8e-06 
4, 50, 1.6e-06, -1.4e-06, +5.1e-06 
5, 60, 1.4e-06, -1.2e-06, +2.3e-05 
6, 70, 1.5e-06, -1.3e-06, +7.0e-06 
7, 80, 1.9e-06, -1.8e-06, +7.5e-06 
8, 90, 1.9e-06, -1.7e-06, +5.9e-06 
9, 100, 2.3e-06, -2.1e-06, +2.5e-05 
10, 110, 2.8e-06, -2.6e-06, +1.1e-05 
11, 120, 2.6e-06, -2.4e-06, +2.0e-05 
12, 130, 2.8e-06, -2.6e-06, +1.1e-05 
13, 140, 3.2e-06, -3.0e-06, +4.4e-05 
14, 150, 4.0e-06, -3.8e-06, +1.8e-05 
15, 160, 3.6e-06, -3.5e-06, +2.1e-05 
16, 170, 5.2e-06, -5.0e-06, +2.4e-05 
17, 180, 5.0e-06, -4.8e-06, +3.5e-05 
18, 190, 6.2e-06, -5.9e-06, +9.5e-06 
19, 200, 6.4e-06, -6.1e-06, +8.1e-05 
20, 210, 7.0e-06, -6.7e-06, +2.1e-05 
21, 220, 6.3e-06, -6.1e-06, +2.6e-05 
22, 230, 4.2e-06, -4.0e-06, +2.8e-05 
23, 240, 4.5e-06, -4.3e-06, +9.5e-06 
24, 250, 5.8e-06, -5.6e-06, +1.3e-05 
25, 260, 5.4e-06, -5.2e-06, +3.8e-05 
26, 270, 5.2e-06, -5.0e-06, +2.6e-05 
27, 280, 6.4e-06, -6.2e-06, +3.2e-05 
28, 290, 6.9e-06, -6.7e-06, +3.6e-05 
29, 300, 6.6e-06, -6.4e-06, +4.1e-05 
30, 310, 1.0e-05, -9.7e-06, +6.3e-05 
31, 320, 6.7e-06, -6.5e-06, +3.7e-05 
32, 330, 7.6e-06, -7.4e-06, +2.2e-05 
33, 340, 8.6e-06, -8.4e-06, +2.1e-05 
34, 350, 7.0e-06, -6.8e-06, +2.5e-05 
35, 360, 8.5e-06, -8.2e-06, +3.0e-05 
36, 370, 8.2e-06, -7.9e-06, +2.3e-05 
37, 380, 7.9e-06, -7.7e-06, +4.9e-05 
38, 390, 1.0e-05, -1.0e-05, +3.7e-05 
39, 400, 1.0e-05, -9.8e-06, +3.8e-05 
40, 410, 8.9e-06, -8.7e-06, +3.7e-05 
41, 420, 8.2e-06, -8.0e-06, +3.3e-05 
42, 430, 8.8e-06, -8.5e-06, +3.5e-05 
43, 440, 9.1e-06, -8.9e-06, +2.9e-05 
44, 450, 1.1e-05, -1.1e-05, +4.0e-05 
45, 460, 1.0e-05, -1.0e-05, +4.4e-05 
46, 470, 1.1e-05, -1.1e-05, +3.4e-05 
47, 480, 1.4e-05, -1.3e-05, +5.2e-05 
48, 490, 1.3e-05, -1.3e-05, +4.9e-05 
49, 500, 9.4e-06, -9.2e-06, +4.6e-05 
50, 510, 1.1e-05, -1.0e-05, +4.7e-05 
51, 520, 1.3e-05, -1.2e-05, +4.0e-05 
52, 530, 1.4e-05, -1.3e-05, +7.7e-05 
53, 540, 1.2e-05, -1.2e-05, +6.4e-05 
54, 550, 1.2e-05, -1.2e-05, +4.9e-05 
55, 560, 1.3e-05, -1.3e-05, +5.8e-05 
56, 570, 1.3e-05, -1.3e-05, +5.1e-05 
57, 580, 1.3e-05, -1.3e-05, +4.8e-05 
58, 590, 1.3e-05, -1.3e-05, +4.1e-05 
59, 600, 1.9e-05, -1.9e-05, +6.8e-05 
60, 610, 1.7e-05, -1.7e-05, +6.2e-05 
61, 620, 1.5e-05, -1.5e-05, +5.6e-05 
62, 630, 1.5e-05, -1.4e-05, +6.7e-05 
63, 640, 1.6e-05, -1.5e-05, +4.8e-05 
64, 650, 1.6e-05, -1.6e-05, +8.0e-05 
65, 660, 1.6e-05, -1.5e-05, +6.0e-05 
66, 670, 1.9e-05, -1.8e-05, +8.3e-05 
67, 680, 1.5e-05, -1.5e-05, +7.3e-05 
68, 690, 2.0e-05, -2.0e-05, +8.0e-05 
69, 700, 1.8e-05, -1.8e-05, +6.5e-05 
70, 710, 1.7e-05, -1.7e-05, +6.8e-05 
71, 720, 1.8e-05, -1.8e-05, +1.1e-04 
72, 730, 1.8e-05, -1.8e-05, +7.7e-05 
73, 740, 1.8e-05, -1.7e-05, +7.4e-05 
74, 750, 2.2e-05, -2.2e-05, +1.2e-04 
75, 760, 2.2e-05, -2.1e-05, +9.1e-05 
76, 770, 2.0e-05, -1.9e-05, +6.8e-05 
77, 780, 2.3e-05, -2.2e-05, +6.0e-05 
78, 790, 2.1e-05, -2.1e-05, +5.8e-05 
79, 800, 2.3e-05, -2.2e-05, +8.3e-05 
80, 810, 2.6e-05, -2.5e-05, +1.2e-04 
81, 820, 2.5e-05, -2.5e-05, +9.5e-05 
82, 830, 2.3e-05, -2.3e-05, +9.2e-05 
83, 840, 2.4e-05, -2.4e-05, +7.5e-05 
84, 850, 2.6e-05, -2.6e-05, +8.2e-03 
85, 860, 2.2e-05, -2.2e-05, +1.6e-04 
86, 870, 2.1e-05, -2.1e-05, +6.4e-05 
87, 880, 2.1e-05, -2.1e-05, +5.8e-05 
88, 890, 2.4e-05, -2.4e-05, +1.1e-04 
89, 900, 2.4e-05, -2.4e-05, +3.2e-04 
90, 910, 2.5e-05, -2.4e-05, +6.9e-05 
91, 920, 2.4e-05, -2.4e-05, +2.1e-04 
92, 930, 2.7e-05, -2.7e-05, +8.2e-05 
93, 940, 2.9e-05, -2.9e-05, +8.3e-05 
94, 950, 2.5e-05, -2.5e-05, +7.8e-05 
95, 960, 2.4e-05, -2.3e-05, +1.2e-04 
96, 970, 2.4e-05, -2.4e-05, +2.9e-04 
97, 980, 2.5e-05, -2.5e-05, +7.6e-05 
98, 990, 2.4e-05, -2.4e-05, +6.9e-05 
99, 1000, 2.6e-05, -2.6e-05, +2.0e-04 
