, Dimensione (n), Mediana (s), Tempi - (s), Tempi + (s)
44, 5400, 5.9e-10, -4.1e-10, +6.9e-09 
45, 5500, 5.4e-10, -4.3e-10, +7.3e-09 
46, 5600, 5.6e-10, -4.5e-10, +4.3e-09 
47, 5700, 5.1e-10, -3.5e-10, +9.1e-10 
48, 5800, 4.9e-10, -3.7e-10, +1.3e-09 
49, 5900, 4.6e-10, -3.3e-10, +3.4e-09 
50, 6000, 5.3e-10, -4.1e-10, +4.0e-09 
51, 6100, 7.2e-10, -5.9e-10, +4.4e-09 
52, 6200, 6.4e-10, -4.8e-10, +4.5e-09 
53, 6300, 5.8e-10, -4.1e-10, +8.3e-10 
54, 6400, 4.6e-10, -4.0e-10, +2.9e-09 
55, 6500, 5.1e-10, -3.8e-10, +5.9e-10 
56, 6600, 4.9e-10, -3.0e-10, +5.8e-10 
57, 6700, 4.3e-10, -3.3e-10, +1.2e-09 
58, 6800, 4.1e-10, -2.4e-10, +3.6e-09 
59, 6900, 4.2e-10, -3.3e-10, +7.1e-10 
60, 7000, 3.9e-10, -3.1e-10, +5.6e-10 
61, 7100, 3.8e-10, -3.0e-10, +1.1e-09 
62, 7200, 3.7e-10, -2.9e-10, +6.0e-10 
63, 7300, 4.1e-10, -3.4e-10, +1.0e-08 
64, 7400, 4.1e-10, -3.3e-10, +2.8e-09 
65, 7500, 3.8e-10, -2.5e-10, +3.5e-09 
66, 7600, 5.8e-10, -4.6e-10, +9.1e-10 
67, 7700, 5.3e-10, -4.1e-10, +2.9e-09 
68, 7800, 4.6e-10, -3.6e-10, +3.4e-09 
69, 7900, 6.5e-10, -4.8e-10, +2.9e-09 
70, 8000, 6.4e-10, -5.0e-10, +3.7e-09 
71, 8100, 3.8e-10, -3.1e-10, +3.9e-09 
72, 8200, 6.0e-10, -4.3e-10, +9.7e-10 
73, 8300, 6.2e-10, -4.8e-10, +3.1e-09 
74, 8400, 5.4e-10, -4.5e-10, +2.2e-09 
75, 8500, 3.3e-10, -2.6e-10, +2.6e-09 
76, 8600, 3.5e-10, -2.5e-10, +4.0e-09 
77, 8700, 3.3e-10, -2.4e-10, +6.4e-10 
78, 8800, 3.1e-10, -1.8e-10, +6.1e-10 
79, 8900, 3.2e-10, -1.9e-10, +2.6e-09 
80, 9000, 3.1e-10, -2.1e-10, +5.6e-10 
81, 9100, 3.1e-10, -2.3e-10, +3.0e-09 
82, 9200, 3.2e-10, -2.6e-10, +6.6e-10 
83, 9300, 4.4e-10, -3.4e-10, +2.5e-09 
84, 9400, 3.3e-10, -2.5e-10, +7.2e-10 
85, 9500, 4.9e-10, -3.0e-10, +2.3e-09 
86, 9600, 4.0e-10, -2.7e-10, +3.0e-09 
87, 9700, 4.0e-10, -2.9e-10, +2.5e-09 
88, 9800, 3.2e-10, -2.0e-10, +1.7e-09 
89, 9900, 2.8e-10, -1.9e-10, +2.3e-09 
90, 10000, 3.0e-10, -1.8e-10, +1.5e-09 
